Date,Adani Enterprises,BEL,BHEL,HCL,HUL,ITC,SPYL,Tata Steel,VUSA
2023-08-10,2552.399902,129.399994,99.849998,148.25,2536.699951,451.75,445.910004,120.0,74.669998
2023-08-11,2539.5,132.050003,103.050003,158.949997,2501.800049,448.75,445.649994,120.300003,74.099998
2023-08-14,2456.0,130.5,101.800003,152.399994,2533.100098,449.200012,448.109985,118.150002,74.629997
2023-08-15,,,,,,,442.890015,,74.139999
2023-08-16,2445.100098,131.300003,99.849998,142.899994,2552.600098,450.25,439.640015,115.949997,74.150002
2023-08-17,2479.699951,128.699997,99.900002,142.550003,2543.25,441.0,436.290009,116.050003,73.510002
2023-08-18,2577.399902,127.150002,98.0,140.75,2554.75,441.649994,436.5,115.800003,73.040001
2023-08-21,2639.75,129.25,100.949997,136.699997,2562.75,447.799988,439.339996,116.900002,73.0
2023-08-22,2698.050049,133.300003,111.050003,144.850006,2565.800049,454.25,438.149994,117.550003,73.419998
2023-08-23,2530.300049,133.399994,109.5,148.300003,2574.050049,450.450012,443.029999,118.949997,73.790001
2023-08-24,2539.550049,134.399994,107.650002,146.199997,2581.25,450.899994,436.890015,118.25,73.900002
2023-08-25,2495.75,133.399994,105.25,144.850006,2563.550049,443.350006,439.970001,116.900002,73.589996
2023-08-28,2472.449951,134.899994,109.550003,147.899994,2555.699951,441.399994,442.76001,117.599998,74.209999
2023-08-29,2506.449951,134.550003,114.650002,151.75,2526.149902,440.100006,449.160004,119.550003,74.790001
2023-08-30,2513.100098,134.550003,118.699997,154.649994,2531.949951,442.799988,451.01001,122.099998,75.150002
2023-08-31,2419.25,133.199997,121.25,158.449997,2505.050049,439.700012,450.350006,122.900002,75.900002
2023-09-01,2450.050049,137.850006,136.149994,167.100006,2504.800049,441.049988,451.190002,127.050003,75.900002
2023-09-04,2470.600098,140.550003,138.75,171.550003,2501.399902,437.5,,131.75,75.849998
2023-09-05,2494.050049,139.699997,138.399994,168.550003,2507.050049,443.100006,449.23999,131.699997,76.18
2023-09-06,2496.5,138.300003,135.550003,163.75,2523.5,447.450012,446.220001,129.600006,75.610001
2023-09-07,2509.5,139.850006,137.699997,162.699997,2507.449951,445.899994,444.850006,130.149994,75.559998
2023-09-08,2519.300049,143.300003,145.300003,166.949997,2513.800049,442.649994,445.519989,129.5,75.739998
2023-09-11,2614.949951,144.699997,139.850006,166.5,2536.25,447.200012,448.450012,131.149994,75.629997
2023-09-12,2535.699951,134.149994,125.650002,154.75,2498.850098,451.149994,445.98999,129.0,75.769997
2023-09-13,2518.899902,135.850006,128.800003,158.5,2506.550049,453.5,446.51001,129.550003,75.800003
2023-09-14,2519.800049,136.800003,129.899994,161.949997,2500.800049,449.950012,450.359985,131.699997,76.099998
2023-09-15,2540.050049,135.699997,127.599998,161.300003,2469.699951,448.350006,443.369995,131.949997,75.849998
2023-09-18,2502.449951,139.899994,126.449997,157.350006,2488.649902,452.049988,443.630005,130.449997,75.75
2023-09-19,,,,,,,442.709991,,75.300003
2023-09-20,2470.300049,136.899994,123.599998,159.100006,2466.850098,452.950012,438.640015,128.300003,75.400002
2023-09-21,2479.25,135.25,124.25,154.25,2473.350098,447.5,431.390015,127.800003,74.629997
2023-09-22,2464.899902,136.050003,124.400002,153.149994,2482.449951,443.100006,430.420013,126.75,74.57
2023-09-25,2482.100098,136.600006,125.25,157.399994,2475.850098,442.600006,432.230011,127.400002,74.879997
2023-09-26,2457.949951,137.649994,124.349998,156.199997,2478.949951,442.450012,425.880005,128.899994,74.330002
2023-09-27,2483.300049,136.600006,126.900002,159.300003,2501.75,449.149994,426.049988,128.149994,74.440002
2023-09-28,2475.25,135.050003,126.650002,156.300003,2460.350098,440.75,428.519989,126.800003,74.480003
2023-09-29,2413.899902,138.300003,131.0,162.399994,2465.600098,444.399994,427.480011,128.899994,74.860001
2023-10-02,,,,,,,427.309998,,74.610001
